brand,colour,avg_rating
emprall,pink,4.010516945
allen solly woman,blue,4.128409808
baisacrafts,green,4.24630267
veni vidi vici,white,4.364195533
sassafras,blue,4.143987342
juniper,teal,4.21875
sangria,pink,3.927419355
bhama couture,pink,4.120805369
dressberry,black,2.962962963
roadster,purple,4.117021277
kassually,lavender,4.357142857
harvard,black,3.923076923
sassafras,blue,4.308900524
sky heights,navy blue,5
biba,cream,4.890756303
dressberry,fluorescent green,4.781512605
only,green,4.672268908
inddus,taupe,4.56302521
arhi,green,4.453781513
aarika,navy blue,4.344537815
espresso,off white,4.235294118
street 9,orange,4.512544803
inweave,off white,4.103896104
roadster,black,4.394736842
puma,beige,4.351214575
sassafras,fuchsia,4.307692308
levis,blue,4.4
anouk,magenta,4.538461538
libas,beige,4.603448276
friskers,black,4.363636364
stylee lifestyle,purple,4.348951049
mango,off white,4.334265735
apratim,orange,4.31958042
urbanic,brown,4.304895105
styli,black,4.29020979
klotthe,blue,4.275524476
fashion basket,blue,4.260839161
tokyo talkies,blue,4.246153846
shae by sassafras,blue,4.236821245
anayna,navy blue,4.105263158
saree mall,burgundy,4.330663616
biba,beige,3.951046094
mango,white,3.571428571
taavi,beige,4.285714286
only,green,5
h&m,blue,4.955263158
bannos swagger,mustard,4.910526316
wearjukebox,grey,4.865789474
kiroshe by kiran,black,4.821052632
arteastri,navy blue,4.77631579
monte carlo,blue,4.731578947
bostreet,maroon,4.686842105
van heusen woman,black,4.642105263
here&now,pink,4.597368421
loom legacy,gold,4.552631579
roadster,blue,4.198473282
roadster,pink,4.441176471
rute,beige,3.769230769
h&m,black,4.3125
anubhutee,grey,3.736111111
mast & harbour,cream,3.506944445
saka designs,cream,3.277777778
varanga,magenta,3.574074074
raisin,purple,4.203703703
mast & harbour,blue,4.833333333
athena,black,4.6
faballey,pink,4.266666667
mitera,fuchsia,3.933333333
natilene,turquoise blue,3.945555555
soch,blue,3.957777778
styli,pink,3.97
tokyo talkies,taupe,3.982222222
faballey,black,4.037037037
u&f,red,4.074829932
puma,black,3.870748299
tiara,grey,3.666666667
rain & rainbow,green,4.333333333
dupatta bazaar,pink,4
suta,peach,4.5125
kappa,red,3.458333333
ethnic junction,navy blue,3.617521367
tokyo talkies,black,3.776709402
myshka,pink,3.935897436
tokyo talkies,green,4.322429907
mango,blue,4.2
van heusen woman,grey,4.198387097
juniper,yellow,4.196774194
bitiya by bhama,pink,4.19516129
indya,blue,4.193548387
sassafras,burgundy,4.337899543
u&f,olive,4.369565217
jaipur kurti,white,4.225806452
anouk,pink,3.597222222
roadster,navy blue,4
