brand,avg_rating
joe hazel,5
alaya by stage3,4.850051975
indian heritage,4.70010395
h&m,4.550155925
tokyo talkies,4.4002079
sassafras,3.97254902
roadster,3.819607844
stylee lifestyle,3.666666667
rute,3.857142857
sztori,4.8125
roadster,4.25
shae by sassafras,4.4
minos,4.09382716
warthy ent,3.787654321
montrez,3.481481481
jc collection,3.593650793
lc waikiki,3.705820106
baisacrafts,3.817989418
charukriti,3.93015873
ginger by lifestyle,4.042328042
allen solly woman,4.154497355
style quotient,4.266666667
clora creation,4.049180328
here&now,4.55
tokyo talkies,3.942446043
indo era,4.144257703
soch,3.951561476
mitera,3.758865248
fablestreet,3.285714286
anouk,4.555555556
minos,4.501798529
campus sutra,4.448041502
forever 21,4.394284475
monte carlo,4.340527448
mitera,4.286770421
zivame,4.233013394
indya,4.179256367
h&m,4.12549934
roadster,4.071742313
ethnic junction,4.434782609
kassually,4.15819209
pluss,4.392857143
fablestreet,4.4
desi weavess,4.325
suta,4.469135802
sassafras,4
sangria,4.5
levis,5
soch,4.753134796
jinfo,4.506269593
melange by lifestyle,4.259404389
heemara,4.012539185
woowzerz,4
vero moda,4
allen solly woman,4
berrylush,4.166417539
anouk,4.043052838
rute,4.210526316
tokyo talkies,3.509090909
new balance,3.879545455
juniper,4.25
mango,3.857142857
vastranand,4.282608696
dupatta bazaar,4.571428571
label ritu kumar,4.4
sirikit,3.641509434
white fire,4.5
mango,3.5
stylee lifestyle,3.620568336
v-mart,3.741136671
h&m,3.861705007
crozo by cantabil,3.982273342
here&now,4.102841678
tokyo talkies,4.367961935
sassafras,4.273417722
fablestreet,4.588235294
roadster,4.494117647
lill,4.4
urbanic,4.818181818
campus sutra,3.971590909
studio rasa,3.125
stylee lifestyle,3.738970588
street 9,4.352941176
max,4.176470588
mitera,4
hypernation,3.848484848
zink london,3.91093011
v&m,3.973375372
bitiya by bhama,4.035820634
dupatta bazaar,4.098265896
mango,3.827586207
shae by sassafras,4.423076923
suta,4.567901235
mango,3.9375
sztori,4.555555556
mango,4.416666667
shaftesbury london,4.277777778
athena,4.138888889
wisstler,4
biba,3.8125
athena,3.625
amirtha fashion,3.403409091
ahalyaa,3.181818182
rosaline by zivame,3.34769697
urbanic,3.513575758
bostreet,3.679454545
vishudh,3.845333333
sassafras,4.237966102
roadster,4.486842105
libas,4.540229885
safaa,4.33319472
roadster,4.126159555
rangmanch by pantaloons,4.366666667
h&m,3.75
tokyo talkies,4.545454545
vishudh,4.5
rustorange,4.208955224
berrylush,4.5
melange by lifestyle,4.386078431
bostreet,4.272156863
here&now,4.158235294
urbanic,4.044313725
melange by lifestyle,3.930392157
belle fille,3.816470588
her by invictus,4.19
street 9,4.435714286
sassafras,4.184375
weavers villa,4.25
tokyo talkies,4.51689612
house of pataudi,3.857142857
marks & spencer,4.609375
purple state,3.6
the souled store,3.793421053
varanga,3.986842105
all about you,4.238095238
franclo,4.031746032
soch,3.825396825
heart up my sleeves,3.619047619
mango,3.412698413
elora,3.206349206
mf,3
ira soleil,4.206382979
dressberry,4.420512821
kipek,4.65
here&now,4.10619469
urbanic,3.06
ethnovogue,4.4
roadster,4.777777778
van heusen woman,4.603174603
rute,4.428571429
patrorna,4.607142857
h&m,4.785714286
sirikit,4.596709471
sanwara,4.407704655
melange by lifestyle,4.21869984
h&m,4.029695024
sangria,3.840690209
her by invictus,3.651685393
varanga,3.839607084
studio rasa,3.814159292
desi weavess,3
the dry state,4.192771084
mast & harbour,4.316831683
zink london,4.727272727
dupatta bazaar,4.666666667
kassually,3.720588235
tokyo talkies,4.241935484
rajgranth,3.911290323
zalora work,3.580645161
white fire,3.25
bostreet,3.398410596
bostreet,3.546821192
hive91,3.695231788
zainab chottani,3.843642384
shae by sassafras,3.99205298
juniper,3.71875
fablestreet,4.322580645
weavers villa,4.432432432
suta,4.808510638
campus sutra,3.041666667
fabric fitoor,4.133333333
dolce crudo,4.103448276
h&m,4.50617284
vero moda,4.435487776
biba,4.364802711
sassafras,4.294117647
vishudh,4.064935065
camey,4.333333333
patrorna,4.286202186
rang gali,4.239071038
mitera,4.191939891
zastraa,4.144808743
harpa,3.792478173
campus sutra,4.014925373
roadster,4.211031175
dressberry,4.392370572
aurelia,4.205980066
anubhutee,4.125
veni vidi vici,3.647058824
stylee lifestyle,3.75
indo era,4.227906977
mitera,4.065789474
style quotient,4.25
anouk,4.217328311
emeros,4.184656621
doriya,4.151984932
alaya by stage3,4.119313242
marks & spencer,4.086641553
sassafras,4.053969863
tokyo talkies,4.021298174
inddus,4.375471698
juniper,3.927835052
popnetic,4.170886076
nayo,4.250972763
janasya,3.984496124
harvard,2.8
lill,5
max,4.917763582
h&m,4.835527165
mango,4.753290747
readiprint fashions,4.67105433
readiprint fashions,4.588817912
styli,4.506581495
heart up my sleeves,4.424345077
fablestreet,4.34210866
vishudh,4.259872242
dupatta bazaar,4.084745763
kassually,4.530120482
panchhi,4.363636364
harpa,4.226744186
roadster,4.462025316
qurvii,3.285714286
fabindia,3.726969293
saree mall,4.168224299
woods,4.223260644
dream of glory inc,4.278296988
mango,4.333333333
soch,4.346926714
kassually,4.360520094
v&m,4.374113475
american eagle outfitters,4.387706856
allen solly woman,4.401300236
pluss,4.414893617
uptownie lite,4.169712794
american eagle outfitters,4.230979658
tokyo talkies,4.292246521
my little lambs,4.3125
dolce crudo,4.345238095
and,4.364284367
zola,4.383330638
kalini,4.40237691
siril,3.79245283
mango,4.142857143
kassually,4.18276644
bostreet,4.222675737
saadgi,4.262585034
h&m,4.302494331
soch,4.342403628
h&m,4.382312925
style quotient,4.422222222
sassafras,4.090909091
bhama couture,4.083333333
clora creation,4.2
salwar studio,3.946524064
neudis,4.304812834
harvard,4.328125
stylum,3.781407035
ether,3.962132089
kook n keech disney,4.142857143
quiero,4.727272727
harpa,3.785714286
fashion basket,3.831580856
stylee lifestyle,3.877447426
forever 21,3.923313996
aturabi,3.969180566
max,4.015047136
sangria,4.060913706
puma,4.315789474
shae by sassafras,4.301020408
safaa,4.534013605
sangria,4.767006803
allen solly woman,5
sangria,4.692307692
levis,4.512820512
soundarya,4.333333333
ruhaans,4.666666666
mango,5
jc collection,4.907335907
mirchi fashion,4.814671815
h&m,4.722007722
h&m,4.629343629
h&m,4.536679536
ayaany,4.444015444
sassafras,4.351351351
inddus,4.1213263
clora creation,3.826086957
antheaa,4.026548673
safaa,4.263274337
flying machine,4.5
shopgarb,3.76744186
zink london,3.940199335
mango,4.112956811
puma,4.285714286
vero moda,4.253968254
berrylush,4.222222222
vishudh,4.555555556
sangria,3
mango,4
albion,4.124565624
bostreet,4.249131248
street 9,4.373696872
saadgi,4.19047619
uptownie lite,4.5
mitera,4.376226827
divastri,4.063492063
indya,4.608695652
indo era,4.2
h&m,4.333333333
mast & harbour,4.035714286
sera,4.090909091
dressberry,3.74
vero moda,3.917575758
readiprint fashions,4.095151515
tokyo talkies,4.272727273
patrorna,3.936363637
forever new,3.6
urbanic,3.75
rajnandini,3.9
kalt,4.476190476
karigari,4.205882353
anayna,4.571573604
tokyo talkies,4.392330383
rare,3.46875
furryflair,4.37704918
urbanic,3.5
tikhi imli,4.055555556
style quotient,4.411764706
h&m,4.848484848
mango,3.8
patrorna,3.862713675
paralians,3.92542735
arteastri,3.988141026
nifty,4.050854701
broadstar,4.113568376
just wow,4.176282051
h&m,4.373534338
roadster,4.117647059
roadster,4.333333333
rute,4.333333333
vero moda,4.846153846
h&m,4.066666667
siril,4.037037037
jc collection,4.14962963
indo era,4.262222222
inddus,4.374814815
patrorna,4.487407407
biba,4.6
forever 21,4.463673469
saree mall,4.327346939
melange by lifestyle,4.191020408
bossini,4.054693878
